,,,Time(sec),Time(sec),Time(sec),Ratio,Ratio,Ratio
,,,XGB_CPU,XGB_GPU,LGB,CPU/LGB,GPU/LGB,CPU/GPU
n_train,n_features,max_depth,,,,,,
2000000,16,12,268.932497025,94.9408090115,25.2302942276,10.6591106151,3.76296876109,2.83263329884
2000000,16,13,293.134840012,101.943681955,31.0678431988,9.43531348913,3.28132472226,2.8754586296
2000000,16,14,317.959397078,109.32408905,42.8717191219,7.41653014131,2.55002811386,2.90841112732
2000000,16,15,338.217631817,117.142764091,66.438136816,5.09071518296,1.76318556939,2.88722597968
2000000,32,2,83.9793999195,29.7133848667,6.25720500946,13.4212319706,4.74866730781,2.82631549035
2000000,32,3,122.992808819,43.1991539001,7.32434082031,16.7923382918,5.89802617873,2.84711152221
2000000,32,4,162.588999987,56.6927571297,8.65466117859,18.7862929156,6.55054611149,2.86789720978
2000000,32,5,203.472342968,71.6170477867,10.30915308,19.7370570976,6.94693804923,2.8411160367
2000000,32,6,245.538974047,86.6899058819,12.4735729694,19.6847346505,6.94988565781,2.83238251961
2000000,32,7,288.178658962,100.286971092,15.7880208492,18.2529945782,6.35209264353,2.87354035947
2000000,32,8,332.684714079,113.722213984,19.4330630302,17.1195201478,5.85199635315,2.92541538214
2000000,32,9,378.135213137,126.86681819,23.7479889393,15.9228309439,5.3422131244,2.98056827256
2000000,32,10,443.57220006,139.806859016,29.7950730324,14.8874345627,4.692281132,3.17274991499
2000000,32,11,469.057213068,152.873084068,36.1096868515,12.9897890003,4.23357545849,3.06827860461
2000000,32,12,518.183344126,165.533978939,44.3452539444,11.6852041207,3.73284543926,3.13037448533
2000000,32,13,590.075242996,178.501818895,57.6540279388,10.234761804,3.09608582916,3.30570997342
2000000,32,14,615.84254384,191.665121078,74.9537620544,8.21629931521,2.5571114221,3.21311744346
2000000,32,15,664.479861975,205.595845938,110.791893005,5.99754949527,1.85569395342,3.23197124409
2000000,64,2,162.584837198,57.6668899059,9.32822680473,17.4293400666,6.18197768055,2.81937932605
2000000,64,3,239.156304836,86.0221960545,10.9973139763,21.746792476,7.82210967514,2.78016972137
2000000,64,4,316.862814903,113.64330411,13.2604720592,23.895289209,8.57007982836,2.78822247721
2000000,64,5,395.253185034,145.129082203,16.3155488968,24.2255524184,8.8951394232,2.72345955087
2000000,64,6,476.454990149,172.737397909,20.2889771461,23.4834406248,8.5138544277,2.75826193931
2000000,64,7,557.964934111,197.834146976,25.7322900295,21.6834542697,7.688167153,2.82036717441
2000000,64,8,641.504852057,222.712677956,31.897010088,20.111754998,6.98224307988,2.88041461288
2000000,64,9,728.154874802,247.382452965,38.8626577854,18.7366206095,6.36555673394,2.94343784725
2000000,64,10,817.818695068,272.104900122,49.1107389927,16.6525430454,5.54063949561,3.00552726064
2000000,64,11,910.997773886,296.050577164,62.389523983,14.6017747168,4.74519692191,3.07716938982
2000000,64,12,1018.5895822,320.17455101,78.7510871887,12.9342923198,4.0656524556,3.18135710347
2000000,64,13,1107.85007405,343.131000996,101.633290052,10.9004645376,3.3761674036,3.2286504887
2000000,64,14,1210.72211194,366.554622889,133.634196043,9.05997228098,2.74297024072,3.30297870042
2000000,64,15,1321.36628985,390.613602877,198.441529989,6.65871851485,1.96840652709,3.38279640064
