,EQBIN_dw,EQBIN_lg,LGB
f167,0.004431921946254259,0.004431921946254259,0.002491770041236887
f108,0.004417320042839138,0.004417320042839138,0.0013071729646530557
f178,0.004387936802863252,0.004387936802863252,0.0019261576251661115
f66,0.004381629393904115,0.004381629393904115,0.0034600418703364584
f127,0.0043787600419610126,0.0043787600419610126,0.002008560433452589
f13,0.0043579375633326775,0.0043579375633326775,0.006408670274312734
f138,0.004347967094018712,0.004347967094018712,0.0021474134745797396
f71,0.004309575156694454,0.004309575156694454,0.003483476136059563
f192,0.004284255687206905,0.004284255687206905,0.005408280145379936
f219,0.004258894760894667,0.004258894760894667,0.0036406222371411375
f209,0.004233491587325184,0.004233491587325184,0.0019759078227989694
f170,0.004225056863567676,0.004225056863567676,0.0033969464895579164
f99,0.004148588765021315,0.004148588765021315,0.002521369301250405
f225,0.004129016334735681,0.004129016334735681,0.0018763177126020576
f239,0.004100312408355668,0.004100312408355668,0.0015520384642117209
f54,0.004051208780548933,0.004051208780548933,0.0029807790069025886
f158,0.0040381898474588064,0.0040381898474588064,0.0027590834191856114
f218,0.0039970047470647965,0.0039970047470647965,0.0021921578134489685
f41,0.003939258842696306,0.003939258842696306,0.0031471447780539235
f132,0.003930788156188813,0.003930788156188813,0.0014058987350133792
f191,0.0038980158787142484,0.0038980158787142484,0.00559048018273865
f36,0.003852393156034381,0.003852393156034381,0.0014670639686782461
f75,0.0037104459551997324,0.0037104459551997324,0.002651908392168888
f44,0.003483079125169865,0.003483079125169865,0.0028940855258733833
f180,0.0034741595893570372,0.0034741595893570372,0.0017203449994295733
f123,0.0034635968483321027,0.0034635968483321027,0.0030236605383613885
f134,0.0033872977293679307,0.0033872977293679307,0.00011371193456656046
f104,0.0031874147121266827,0.0031874147121266827,0.0002646606643950589
f217,0.003045400965746681,0.003045400965746681,0.0002703948440847931
f205,0.0029369216612111777,0.0029369216612111777,0.0
f5,0.002869627640525516,0.002869627640525516,0.0013835509847793658
f139,0.0028498022292343605,0.0028498022292343605,7.995499161411784e-05
f157,0.0028209038923745974,0.0028209038923745974,0.0010195580040782313
f181,0.002764490094037983,0.002764490094037983,0.00027483337616158754
f126,0.0027385311305431663,0.0027385311305431663,0.00025710276638666896
f184,0.00268874818914056,0.00268874818914056,0.0003495783237118493
f58,0.0026851956036507965,0.0026851956036507965,0.00289802686220495
f100,0.0026746408759765906,0.0026746408759765906,0.0001103074403510768
f232,0.002606786493122109,0.002606786493122109,0.0002582093512758523
f72,0.0025990458825091954,0.0025990458825091954,0.00017062354952711848
f118,0.0025966862369106642,0.0025966862369106642,0.00011186718275079793
f94,0.0025108403553175296,0.0025108403553175296,0.0004843288048137962
f154,0.002433460006387167,0.002433460006387167,0.0003099091831927388
f213,0.0024325854063933392,0.0024325854063933392,0.0006781000766505937
f81,0.0024154492851464686,0.0024154492851464686,6.570830595108509e-05
f117,0.0023791953123983877,0.0023791953123983877,0.0004165762347429136
f227,0.002377175757220668,0.002377175757220668,0.0003818388428421225
f212,0.00237411542041853,0.00237411542041853,0.0002947615195859763
f53,0.0023402432730790334,0.0023402432730790334,9.393610914750923e-05
f4,0.002331125940191804,0.002331125940191804,0.0
f222,0.0023218855451326687,0.0023218855451326687,0.0006386674479026877
f128,0.002234332056658042,0.002234332056658042,0.00010371498499634389
f206,0.0022222366669091935,0.0022222366669091935,0.0004305687233795378
f169,0.002201525017186247,0.002201525017186247,5.3238834113025273e-05
f26,0.0021965503004347043,0.0021965503004347043,0.0002139788158879443
f20,0.00219534328948118,0.00219534328948118,0.0003376165513596322
f98,0.002194607778360717,0.002194607778360717,4.381848410000931e-05
f228,0.0021449335895751443,0.0021449335895751443,0.00020966229496679337
f147,0.0021231782963168047,0.0021231782963168047,0.0006630768303992145
f210,0.002108530081978642,0.002108530081978642,0.00031251013500151404
f37,0.0020975441597176014,0.0020975441597176014,6.042080945771932e-05
f197,0.0020924461423015715,0.0020924461423015715,9.739738406268258e-05
f0,0.002045367134387737,0.002045367134387737,0.00012309176982069946
f151,0.0020296505005420306,0.0020296505005420306,0.00044551974987833815
f15,0.002008904099042964,0.002008904099042964,0.0001658628834565756
f226,0.0020066431893730552,0.0020066431893730552,0.0
f159,0.0020066360345956193,0.0020066360345956193,6.059954478871719e-05
f47,0.0019594770076509353,0.0019594770076509353,0.0
f70,0.0019298137583052969,0.0019298137583052969,0.00014077702589203697
f246,0.0019215099236125884,0.0019215099236125884,0.0001695365408415218
f95,0.00191590344001341,0.00191590344001341,0.0002573459475697481
